,location,beta,average_age,contacts_home,contacts_school,contacts_work,contacts_community,cum_infections
0,Sweden,0.01,41.61848,2.0,20,16,20,199
1,Czechia,0.010001000100010001,42.679817,1.395,20,16,20,419
2,Mayotte,0.010002000200020003,25.10566,3.1020000000000003,20,16,20,482
3,United States of America,0.010003000300030004,39.578476,1.491,20,16,20,593
4,Gabon,0.010004000400040004,25.49464,3.0970000000000004,20,16,20,268
5,Vanuatu,0.010005000500050005,25.29264,2.0,20,16,20,313
6,Lesotho,0.010006000600060006,27.244469,2.344,20,16,20,1258
7,Austria,0.010007000700070007,43.06455,1.271,20,16,20,963
8,Bosnia and Herzegovina,0.010008000800080009,42.4342,2.0,20,16,20,924
9,China,0.01000900090009001,38.408432,2.384,20,16,20,1195
10,Iraq,0.01001000100010001,24.789722,6.703,20,16,20,4572
11,Germany,0.01001100110011001,44.62169,1.0459999999999998,20,16,20,689
12,Ireland,0.010012001200120012,38.19176,1.766,20,16,20,1470
13,Philippines,0.010013001300130013,28.980663,3.226,20,16,20,1975
14,Eritrea,0.010014001400140015,24.270046,2.0,20,16,20,1157
15,Uruguay,0.010015001500150016,37.853825,1.7810000000000001,20,16,20,1015
16,Colombia,0.010016001600160016,33.777237,2.526,20,16,20,865
17,Iraq,0.010017001700170017,24.789722,6.703,20,16,20,4467
18,Syrian Arab Republic,0.010018001800180018,28.245369,2.0,20,16,20,2115
19,Ireland,0.01001900190019002,38.19176,1.766,20,16,20,1432
20,Honduras,0.01002000200020002,27.771646,3.4669999999999996,20,16,20,1761
21,South Africa,0.010021002100210022,29.618578,2.362,20,16,20,1717
22,Bulgaria,0.010022002200220021,43.885956,1.3370000000000002,20,16,20,949
23,Guinea,0.010023002300230023,22.394463,5.25,20,16,20,4070
24,Greece,0.010024002400240024,45.013416,1.44,20,16,20,742
25,Austria,0.010025002500250025,43.06455,1.271,20,16,20,909
26,Russian Federation,0.010026002600260027,40.05685,1.584,20,16,20,1709
27,Mauritania,0.010027002700270028,24.240793,2.0,20,16,20,609
28,Viet Nam,0.010028002800280027,33.818863,2.783,20,16,20,3508
29,Guyana,0.010029002900290029,30.738213,2.795,20,16,20,1881
30,Taiwan Province of China,0.01003000300030003,42.158676,2.0,20,16,20,1989
31,United States of America,0.010031003100310031,39.578476,1.491,20,16,20,593
32,Hungary,0.010032003200320033,42.918823,1.6030000000000002,20,16,20,1008
33,Kyrgyzstan,0.010033003300330034,28.411932,3.2140000000000004,20,16,20,1023
34,Thailand,0.010034003400340033,39.406456,2.693,20,16,20,1705
35,Cambodia,0.010035003500350035,28.062035,3.6109999999999998,20,16,20,1280
36,Romania,0.010036003600360036,42.572594,1.879,20,16,20,1791
37,Romania,0.010037003700370037,42.572594,1.879,20,16,20,1791
38,Portugal,0.010038003800380038,45.212746,1.6549999999999998,20,16,20,746
39,Spain,0.01003900390039004,44.051018,1.694,20,16,20,1955
40,Central African Republic,0.010040004000400041,22.208559,3.9059999999999997,20,16,20,2305
41,Uruguay,0.01004100410041004,37.853825,1.7810000000000001,20,16,20,1429
42,Austria,0.010042004200420042,43.06455,1.271,20,16,20,1356
43,Turkmenistan,0.010043004300430043,28.940163,2.0,20,16,20,441
44,Netherlands,0.010044004400440044,42.527573,1.226,20,16,20,2305
45,Central African Republic,0.010045004500450046,22.208559,3.9059999999999997,20,16,20,2315
46,Canada,0.010046004600460047,41.570114,1.448,20,16,20,1475
47,Saint Lucia,0.010047004700470047,36.259403,2.0,20,16,20,1075
48,Solomon Islands,0.010048004800480048,24.539886,2.0,20,16,20,280
49,Martinique,0.010049004900490049,44.018433,1.2480000000000002,20,16,20,148
